# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Thu Jul 25 08:34:27 2024,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: *,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,
# COLUMN st_lum:         Stellar Luminosity [log(Solar)],,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,
#,,,,,,,,,,,
pl_name,sy_pnum,discoverymethod,pl_orbsmax,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist
HD 27894 b,3,Radial Velocity,0.125,196.73578,0.047,,,0.81,,,43.8214
HD 27894 b,3,Radial Velocity,0.125,211.35695,0.047,,,0.8,,,43.8214
HD 27894 b,3,Radial Velocity,0.122,197.05,0.049,4875,,0.8,-0.449,4.22,43.8214
HD 27894 c,3,Radial Velocity,0.198,51.48846,0.015,,,0.8,,,43.8214
HD 27894 d,3,Radial Velocity,5.448,1721.04945,0.389,,,0.8,,,43.8214
HD 27894 d,3,Radial Velocity,5.362,2063.65985,0.343,,,0.81,,,43.8214
HD 27969 b,1,Radial Velocity,1.552,1525.57635,0.182,5966,1.27,1.16,,4.12,67.9328
HD 28109 b,3,Transit,0.1357,18.496,0.3307,6120,1.45,1.26,,4.13,139.611
HD 28109 b,3,Transit,,,,6321,1.41,,,4.22,139.611
HD 28109 c,3,Transit,,,,6321,1.41,,,4.22,139.611
HD 28109 c,3,Transit,0.308,7.943,0.1203,6120,1.45,1.26,,4.13,139.611
HD 28109 d,3,Transit,,,,6321,1.41,,,4.22,139.611
HD 28109 d,3,Transit,0.411,5.681,0.0864,6120,1.45,1.26,,4.13,139.611
HD 28185 b,2,Radial Velocity,1.03,1811.631,0.07,5705,,0.99,,4.59,39.3809
HD 28185 b,2,Radial Velocity,1.035,1855.16441,0.055,,,0.99,,,39.3809
HD 28185 b,2,Radial Velocity,1.044,1919.68358,0.0629,5622,1.08,1.02,,4.38,39.3809
HD 28185 b,2,Radial Velocity,1.032,1776.59,0.092,5546,,0.98,,,39.3809
HD 28185 b,2,Radial Velocity,1.02,1875.197,0.05,5662,1.03,1.02,,4.42,39.3809
HD 28185 b,2,Radial Velocity,1.1,2129.461,0.05,,,1.24,,,39.3809
HD 28185 c,2,Radial Velocity,13.176,6241.83209,0.12,,,0.99,,,39.3809
HD 28192 b,1,Radial Velocity,0.118,99.79812,0.104,,,1.08,,,49.8063
HD 28254 b,1,Radial Velocity,2.45,1207.74795,0.95,,,1.1,,,55.2884
HD 28254 b,1,Radial Velocity,2.15,368.67,0.81,5664,1.48,1.06,0.34,4.12,55.2884
HD 284149 AB b,1,Imaging,,8981.83078,,,,,,,117.807
HD 284149 AB b,1,Imaging,431.16,8352.53054,,6035,1.36,,0.342,,117.807
HD 285507 b,1,Radial Velocity,0.06,311.4734,0.09,4503,0.69,0.82,,4.67,45.0293
HD 285507 b,1,Radial Velocity,,291.438,0.086,4503,0.66,0.73,,4.67,45.0293
HD 285968 b,1,Radial Velocity,0.066,8.4,0,,,0.5,-1.658,,9.47045
HD 285968 b,1,Radial Velocity,0.06649,9.05811,0.16,3703.49,0.48,0.51,,4.78,9.47045
HD 285968 b,1,Radial Velocity,0.066,9.06,0.148,3543,0.49,0.48,-1.473,4.75,9.47045
HD 28678 b,1,Radial Velocity,1.25,540.3,0.168,5076,6.2,1.74,1.36,3.3,189.908
HD 28678 b,1,Radial Velocity,1.32,810.4665,0.17,4722,6.98,3.16,,3.25,189.908
HD 28678 b,1,Radial Velocity,1.18,490.09386,0.149,4972,6.48,1.53,,3.06,189.908
HD 29021 b,1,Radial Velocity,2.294,1420.69298,0.453,,,0.86,-0.181,,30.9939
HD 29021 b,1,Radial Velocity,2.28,762.792,0.459,5560,0.85,0.85,,4.44,30.9939
HD 290327 b,1,Radial Velocity,3.43,772.3269,0.08,5505,0.95,0.84,,4.41,56.433
HD 290327 b,1,Radial Velocity,3.43,807.25,0.08,5552,1,0.9,-0.14,4.42,56.433
HD 29399 b,1,Radial Velocity,1.913,498.9906,0.05,4845,4.5,1.17,1.002,3.25,44.1518
HD 2952 b,1,Radial Velocity,1.117,284.77425,0.269,4853,10.9,1.91,1.768,2.65,110.103
HD 2952 b,1,Radial Velocity,1.23,435.4271,0.13,4844,10.76,1.97,,2.67,110.103
HD 2952 b,1,Radial Velocity,1.2,508.5,0.129,4844,12.02,2.54,1.85,2.67,110.103
HD 29985 b,1,Radial Velocity,13.39,1739.47487,0.261,,,0.75,,,31.2707
HD 30177 b,2,Radial Velocity,3.81,3006.6718,0.19,5556,1.13,0.93,,4.3,55.5867
HD 30177 b,2,Radial Velocity,3.58,2568.0664,0.184,5580,,0.99,,4.41,55.5867
HD 30177 b,2,Radial Velocity,2.6,2447.291,0.22,,,0.95,,,55.5867
HD 30177 b,2,Radial Velocity,3.95,3321.2,0.193,5545.71,1.19,0.98,0.083,4.28,55.5867
HD 30177 b,2,Radial Velocity,3.604,2670.7121,0.207,,,0.98,,,55.5867
HD 30177 b,2,Radial Velocity,3.704,2740.33026,0.162,5607,1.02,1.05,,4.42,55.5867
HD 30177 c,2,Radial Velocity,9.89,2415.508,0.22,5580,,0.99,,4.41,55.5867
HD 30177 c,2,Radial Velocity,10.258,1954.6447,0.039,,,0.98,,,55.5867
HD 30562 b,1,Radial Velocity,2.34,387.7526,0.76,5882,1.61,1.12,,4.07,26.1597
HD 30562 b,1,Radial Velocity,2.315,436.362,0.778,5994,1.53,1.23,,4.34,26.1597
HD 30562 b,1,Radial Velocity,2.3,410.0007,0.76,5861,1.64,1.22,0.45,4.09,26.1597
HD 30562 b,1,Radial Velocity,2.299,467.20776,0.748,5861,,1.22,,4.09,26.1597
HD 30669 b,1,Radial Velocity,2.69,149.37,0.18,5400,0.91,0.92,,4.37,58.0844
HD 30856 b,1,Radial Velocity,2.04,670.6213,0.12,4971,4.73,1.65,,3.31,131.199
HD 30856 b,1,Radial Velocity,1.85,491.68301,0.061,4895,4.4,1.17,,3.2,131.199
HD 30856 b,1,Radial Velocity,1.8,572.1,0.117,4982,4.2,1.35,0.996,3.4,131.199
HD 31253 b,1,Radial Velocity,1.295,141.75147,0.44,6014.94,1.83,1.33,,4.03,58.1438
HD 31253 b,1,Radial Velocity,1.26,158.908,0.3,5960,1.71,1.23,0.517,4.1,58.1438
HD 31253 b,1,Radial Velocity,1.26,197.0546,0.3,6130,1.75,1.7,,4.18,58.1438
HD 31527 b,3,Radial Velocity,0.1254,10.47,0.1,5898,,0.96,0.079,4.45,38.4473
HD 31527 c,3,Radial Velocity,0.2663,14.16,0.04,5898,,0.96,0.079,4.45,38.4473
HD 31527 d,3,Radial Velocity,0.8098,11.82,0.24,5898,,0.96,0.079,4.45,38.4473
HD 3167 b,4,Transit,0.01802,4.73,0.1,5300,0.87,0.85,-0.27,4.47,47.2899
HD 3167 b,4,Transit,,,,,0.88,,,,47.2899
HD 3167 b,4,Transit,0.0186,,,5528,0.87,0.94,,4.53,47.2899
HD 3167 b,4,Transit,,,,5366,0.84,0.89,,4.54,47.2899
HD 3167 b,4,Transit,,,,5370,0.83,0.88,,4.52,47.2899
HD 3167 b,4,Transit,0.01815,5.02,0,5261,0.86,0.86,,4.47,47.2899
HD 3167 b,4,Transit,0.01796,4.97,0,5261,0.88,0.84,,,47.2899
HD 3167 b,4,Transit,,,,5438,0.83,,,4.6,47.2899
HD 3167 b,4,Transit,0.01752,5.69,0,5286,0.83,0.88,,4.51,47.2899
HD 3167 b,4,Transit,,5.59,,5261,0.88,0.84,,4.47,47.2899
HD 3167 c,4,Transit,0.1806,8.33,0.05,5286,0.83,0.88,,4.51,47.2899
HD 3167 c,4,Transit,,,,5438,0.83,,,4.6,47.2899
HD 3167 c,4,Transit,,,,,0.88,,,,47.2899
HD 3167 c,4,Transit,,,,,,,,,47.2899
HD 3167 c,4,Transit,0.1783,10.67,0.15,5300,0.87,0.85,-0.27,4.47,47.2899
HD 3167 c,4,Transit,,,,5370,0.83,0.88,,4.52,47.2899
HD 3167 c,4,Transit,0.1795,9.8,0.267,5261,0.86,0.86,,4.47,47.2899
HD 3167 c,4,Transit,0.1776,11.13,0.06,5261,0.88,0.84,,,47.2899
HD 3167 c,4,Transit,0.1841,,,5528,0.87,0.94,,4.53,47.2899
HD 3167 c,4,Transit,,,,5366,0.84,0.89,,4.54,47.2899
HD 3167 d,4,Radial Velocity,0.07757,6.9,0.36,5261,0.86,0.86,,4.47,47.2899
HD 3167 d,4,Radial Velocity,0.07703,5.03,0.44,5300,0.87,0.85,-0.27,4.47,47.2899
HD 3167 d,4,Radial Velocity,0.0763,4.33,0.12,5261,0.88,0.84,,,47.2899
HD 3167 e,4,Radial Velocity,0.3885,8.41,0.15,5261,0.88,0.84,,,47.2899
HD 3167 e,4,Radial Velocity,0.4048,9.74,0.6,5300,0.87,0.85,-0.27,4.47,47.2899
HD 32518 b,1,Radial Velocity,0.594,905.49313,0.028,4580,10.22,1.13,,2.1,122.115
HD 32518 b,1,Radial Velocity,0.59,966.16,0.01,4580,10.22,1.13,,2.1,122.115
HD 32963 b,1,Radial Velocity,3.409,657.9048,0.099,5727,,1.03,,4.41,38.0786
HD 32963 b,1,Radial Velocity,3.41,222.481,0.07,5727,,0.94,,4.41,38.0786
HD 32963 b,1,Radial Velocity,3.416,230.74342,0.069,5706.08,1.11,0.98,,4.34,38.0786
HD 330075 b,1,Radial Velocity,0.039,197.05,0,5017,,0.7,-0.33,4.22,45.2989
HD 330075 b,1,Radial Velocity,0.04,152.5584,0,5000,0.84,0.47,,4.26,45.2989
HD 331093 b,1,Radial Velocity,1.44,476.74261,0.59,5544,,1.03,,4.2,50.1928
HD 33142 b,3,Radial Velocity,1.07,440.19455,0.066,4978,4.45,1.41,,3.4,121.375
HD 33142 b,3,Radial Velocity,1.09,476.745,0.12,5009,3.97,1.78,,3.49,121.375
HD 33142 b,3,Radial Velocity,1.074,400.46379,0.049,5025.4,4.17,1.52,1,3.38,121.375
HD 33142 b,3,Radial Velocity,1.06,413.2,0.12,5052,4.2,1.48,1.021,3.5,121.375
HD 33142 c,3,Radial Velocity,,1897.4451,0.05,,,1.62,,,121.375
HD 33142 c,3,Radial Velocity,1.955,282.86728,0.081,5025.4,4.17,1.52,1,3.38,121.375
HD 33142 d,3,Radial Velocity,0.452,63.56568,0.191,5025.4,4.17,1.52,1,3.38,121.375
HD 332231 b,1,Transit,,,,6089,1.28,1.13,0.305,4.28,80.6665
HD 332231 b,1,Transit,,,,6125,1.27,,,4.29,80.6665
HD 332231 b,1,Transit,0.1436,77.55052,0.032,6089,1.28,1.13,0.305,4.28,80.6665
HD 332231 b,1,Transit,,,0.032,6089,1.28,1.13,0.305,4.28,80.6665
HD 33283 b,1,Radial Velocity,0.15,117.5971,0.48,6108,1.74,1.47,,4.12,89.8623
HD 33283 b,1,Radial Velocity,0.145,104.88,0.48,5995,1.2,1.24,,4.21,89.8623
HD 33283 b,1,Radial Velocity,0.1508,104.56607,0.399,5935,1.97,1.38,0.64,,89.8623
HD 33564 b,1,Radial Velocity,1.1,2892.1,0.34,6250,,1.25,,4,20.9531
HD 33844 b,2,Radial Velocity,1.6,622.9468,0.15,4861,5.29,1.78,1.149,3.24,105.779
HD 33844 b,2,Radial Velocity,1.6,638.8383,0.15,4861,5.39,1.84,,3.24,105.779
HD 33844 c,2,Radial Velocity,2.24,556.2025,0.13,4861,5.29,1.78,1.149,3.24,105.779
HD 34445 b,6,Radial Velocity,2.07,260.6206,0.27,5879,1.38,1.14,,4.21,46.0907
HD 34445 b,6,Radial Velocity,2.105,209.13109,0.103,5829.49,1.48,1.11,,4.15,46.0907
HD 34445 b,6,Radial Velocity,2.075,200,0.014,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 b,6,Radial Velocity,2.07,250,0.27,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 c,6,Radial Velocity,0.7181,53.5,0.036,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 d,6,Radial Velocity,0.4817,30.7,0.027,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 e,6,Radial Velocity,0.2687,16.8,0.09,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 f,6,Radial Velocity,1.543,37.9,0.031,5836,1.38,1.07,0.303,4.21,46.0907
HD 34445 g,6,Radial Velocity,6.36,120.6,0.032,5836,1.38,1.07,0.303,4.21,46.0907
HD 35759 b,1,Radial Velocity,0.389,1195.0408,0.389,6060,,1.15,,4.24,71.2423
HD 360 b,1,Radial Velocity,0.98,238.37131,0.139,4770,10.86,1.69,1.742,2.59,111.542
HD 36384 b,1,Radial Velocity,1.3,2097.66749,0.2,3940,38.4,1.14,2.589,1.1,209.309
HD 3651 b,1,Radial Velocity,0.28,63.56,0.63,5274.92,0.87,0.9,-0.274,4.51,11.1336
HD 3651 b,1,Radial Velocity,0.296,72.1,0.618,5274.92,0.87,0.9,-0.274,4.51,11.1336
HD 3651 b,1,Radial Velocity,0.295,72.46524,0.645,5221,,0.8,,4.45,11.1336
HD 3651 b,1,Radial Velocity,0.295,72.78,0.596,5221,,0.88,,,11.1336
HD 3651 b,1,Radial Velocity,0.2955,69.98582,0.614,5205.95,0.87,0.89,,4.51,11.1336
HD 37124 b,3,Radial Velocity,0.519,198.318,0.079,,,0.78,,,31.6634
HD 37124 b,3,Radial Velocity,0.54,273.32,0.1,,,0.91,,,31.6634
HD 37124 b,3,Radial Velocity,0.5253,206.58846,0.05,5698.64,0.95,0.81,,4.39,31.6634
HD 37124 b,3,Radial Velocity,0.53,193.87,0.055,,,0.78,,,31.6634
HD 37124 b,3,Radial Velocity,0.53364,214.53525,0.054,,,0.85,,,31.6634
HD 37124 c,3,Radial Velocity,1.687,205.63498,0.126,5698.64,0.95,0.81,,4.39,31.6634
HD 37124 c,3,Radial Velocity,1.71,207.22516,0.125,,,0.85,,,31.6634
HD 37124 c,3,Radial Velocity,2.95,320.99,0.4,,,0.91,,,31.6634
HD 37124 c,3,Radial Velocity,1.64,190.69,0.14,,,0.78,,,31.6634
HD 37124 c,3,Radial Velocity,1.61,182.427,0.15,,,0.78,,,31.6634
HD 37124 d,3,Radial Velocity,2.807,221.20968,0.16,,,0.85,,,31.6634
HD 37124 d,3,Radial Velocity,3.142,220.883,0.297,,,0.78,,,31.6634
HD 37124 d,3,Radial Velocity,3.19,209.76,0.2,,,0.78,,,31.6634
HD 37124 d,3,Radial Velocity,2.671,209.44892,0.16,5698.64,0.95,0.81,,4.39,31.6634
HD 37605 b,2,Radial Velocity,0.2831,890.522,0.6767,5448,0.9,1,-0.229,4.51,46.7864
HD 37605 b,2,Radial Velocity,,,0.7342,5329,0.98,0.92,-0.154,4.42,46.7864
HD 37605 b,2,Radial Velocity,0.28,689.6911,0.68,5340,0.95,0.68,,4.32,46.7864
HD 37605 b,2,Radial Velocity,0.277,854.9627,0.6745,5329,0.91,0.94,-0.22,,46.7864
HD 37605 b,2,Radial Velocity,0.263,759.58,0.677,5329,0.98,0.92,-0.154,4.42,46.7864
HD 37605 b,2,Radial Velocity,0.26,902.6372,0.737,5475,,,,4.55,46.7864
HD 37605 c,2,Radial Velocity,,1071.0871,0,,,1,,,46.7864
HD 37605 c,2,Radial Velocity,3.74,1013.8777,0.03,5329,0.91,0.94,-0.22,,46.7864
HD 37605 c,2,Radial Velocity,3.814,1069.771,0.013,5448,0.9,1,-0.229,4.51,46.7864
HD 3765 b,1,Radial Velocity,2.108,54.98431,0.298,5049.8,0.83,0.85,,4.53,17.926
HD 38283 b,1,Radial Velocity,1.02,127.132,0.41,5981,1.49,1.37,,4.23,38.0615
HD 38283 b,1,Radial Velocity,1.02,108.0622,0.41,5998,,1.08,,4.15,38.0615
HD 38529 b,2,Radial Velocity,0.13,244.7291,0.27,5370,2.82,1.39,,4.13,42.3538
HD 38529 b,2,Radial Velocity,0.1313,270.8,0.248,5541,2.84,0.98,0.834,3.52,42.3538
HD 38529 b,2,Radial Velocity,0.1313,272.06248,0.244,5541,2.84,0.98,0.834,3.52,42.3538
HD 38529 b,2,Radial Velocity,0.131,266.64813,0.257,5697,,1.48,,,42.3538
HD 38529 b,2,Radial Velocity,0.1329,278.41768,0.26,5624.21,2.86,1.53,,3.71,42.3538
HD 38529 b,2,Radial Velocity,0.1294,253.31051,0.28,5541,2.56,1.41,,3.77,42.3538
HD 38529 b,2,Radial Velocity,0.115,206.58846,0.256,,,0.98,,,42.3538
HD 38529 c,2,Radial Velocity,,4204.8909,0.342,,,1.34,,,42.3538
HD 38529 c,2,Radial Velocity,3.712,4252.39,0.341,5697,,1.48,,,42.3538
HD 38529 c,2,Radial Velocity,3.226,3299.05886,0.357,,,0.98,,,42.3538
HD 38529 c,2,Radial Velocity,3.64,4128.6117,0.3407,5541,2.56,1.41,,3.77,42.3538
HD 38529 c,2,Radial Velocity,3.7365,4198.51326,0.3545,5624.21,2.86,1.53,,3.71,42.3538
HD 38529 c,2,Radial Velocity,3.74,4195.2,0.3506,5541,2.84,0.98,0.834,3.52,42.3538
HD 38529 c,2,Radial Velocity,3.72,4163.573,0.3551,5541,2.84,0.98,0.834,3.52,42.3538
HD 38801 b,1,Radial Velocity,1.66,3219.6179,0.059,5207,2.41,1.29,,3.77,91.4349
HD 38801 b,1,Radial Velocity,1.65,3852.0996,0,5277,2.38,1.64,,3.9,91.4349
HD 38801 b,1,Radial Velocity,1.623,3082.31534,0.017,5338,2.03,1.21,,3.88,91.4349
HD 38801 b,1,Radial Velocity,1.7,3400.64,0,5222,2.53,1.36,0.659,3.84,91.4349
HD 38801 b,1,Radial Velocity,1.66,3178.3,0.0572,5207,2.41,1.29,0.58,,91.4349
HD 39091 b,3,Radial Velocity,3.1,3184.6566,0.637,6037,1.1,1.09,0.16,4.42,18.2702
HD 39091 b,3,Radial Velocity,,4100.007,0.644,,,1.09,,,18.2702
HD 39091 b,3,Radial Velocity,3.308,4099.98645,0.641,6037,1.1,1.09,0.16,4.42,18.2702
HD 39091 b,3,Radial Velocity,3.28,3273.649,0.61,,,1.1,,,18.2702
HD 39091 b,3,Radial Velocity,3.311,3917.23512,0.642,,,1.1,,,18.2702
HD 39091 b,3,Radial Velocity,3.22,3070.2378,0.6394,5870,1.1,1.02,,4.36,18.2702
HD 39091 b,3,Radial Velocity,,4004.63793,0.6396,5998,1.19,1.07,,,18.2702
HD 39091 b,3,Radial Velocity,3.38,3264,0.6405,5950,,1.1,,4.36,18.2702
HD 39194 b,3,Radial Velocity,0.056,4,0.207,5205,,0.67,-0.409,4.53,26.4131
HD 39194 c,3,Radial Velocity,0.103,6.3,0.154,5205,,0.67,-0.409,4.53,26.4131
HD 39194 d,3,Radial Velocity,0.185,4,0.333,5205,,0.67,-0.409,4.53,26.4131
HD 39855 b,1,Radial Velocity,0.041,8.5,0.14,5576,,0.87,,,23.2599
HD 40307 b,5,Radial Velocity,0.0468,4,0.2,4956,,0.77,-0.639,4.47,12.9363
HD 40307 b,5,Radial Velocity,0.0475,3.81,0.168,4977,,0.77,,4.47,12.9363
HD 40307 b,5,Radial Velocity,0.047524,4,0.1964,4867.44,0.72,0.79,-0.585,4.63,12.9363
HD 40307 c,5,Radial Velocity,0.0812,6.43,0.103,4977,,0.77,,4.47,12.9363
HD 40307 c,5,Radial Velocity,0.08113,6.6,0.05777,4867.44,0.72,0.79,-0.585,4.63,12.9363
HD 40307 c,5,Radial Velocity,0.0799,6.6,0.06,4956,,0.77,-0.639,4.47,12.9363
HD 40307 d,5,Radial Velocity,0.13407,9.5,0.06728,4867.44,0.72,0.79,-0.585,4.63,12.9363
HD 40307 d,5,Radial Velocity,0.1321,9.5,0.07,4956,,0.77,-0.639,4.47,12.9363
HD 40307 d,5,Radial Velocity,0.134,8.74,0.122,4977,,0.77,,4.47,12.9363
HD 40307 f,5,Radial Velocity,0.2491,5.2,0.06175,4867.44,0.72,0.79,-0.585,4.63,12.9363
HD 40307 f,5,Radial Velocity,0.247,5.2,0.02,4956,,0.77,-0.639,4.47,12.9363
HD 40307 f,5,Radial Velocity,0.2485,3.63,0.352,4977,,0.77,,4.47,12.9363
HD 40307 g,5,Radial Velocity,0.6,7.1,0.29,4956,,0.77,-0.639,4.47,12.9363
HD 40307 g,5,Radial Velocity,0.6069,7.1,0.2205,4867.44,0.72,0.79,-0.585,4.63,12.9363
HD 40956 b,1,Radial Velocity,1.4,858.141,0.24,4869,8.56,2,1.664,3.02,116.593
HD 40979 b,1,Radial Velocity,0.855,1217.2,0.269,6139,1.24,1.16,0.291,4.32,34.0883
HD 40979 b,1,Radial Velocity,0.85,1484.2661,0.25,6165,1.21,1.45,,4.43,34.0883
HD 40979 b,1,Radial Velocity,0.8669,1207.74795,0.251,6149.73,1.24,1.23,,4.34,34.0883
HD 40979 b,1,Radial Velocity,0.846,1274.44,0.252,6089,,1.15,,,34.0883
HD 41004 A b,2,Radial Velocity,,807.25,0.74,,,,,,36.69117
HD 41004 B b,2,Radial Velocity,,5924.1,0.065,,,,,,41.5504
HD 41004 B b,2,Radial Velocity,,5838.29,0.081,,,0.4,,,41.5504
HD 4113 b,1,Radial Velocity,1.28,495.79,0.903,5688,,0.99,0.086,4.4,41.8727
HD 4113 b,1,Radial Velocity,1.28,541.26178,0.899,,,1.01,,,41.8727
HD 42012 b,1,Radial Velocity,1.67,508.528,0.2,5405,0.82,0.83,,4.45,36.7984
HD 4203 b,2,Radial Velocity,1.177,579.08336,0.513,5625.06,1.5,1.14,,4.15,81.3795
HD 4203 b,2,Radial Velocity,1.17,708.7609,0.52,5596,1.42,1.25,,4.23,81.3795
HD 4203 b,2,Radial Velocity,1.1,508.528,0.53,,,1.06,,,81.3795
HD 4203 b,2,Radial Velocity,1.164,657.9,0.519,5702,,1.13,,4.36,81.3795
HD 4203 b,2,Radial Velocity,1.1735,578.43,0.52,5582,1.5,0.99,0.293,4.08,81.3795
HD 4203 c,2,Radial Velocity,6.95,689.66,0.24,5582,1.5,0.99,0.293,4.08,81.3795
HD 4203 c,2,Radial Velocity,7.8,851.78013,0.19,5625.06,1.5,1.14,,4.15,81.3795
HD 4203 c,2,Radial Velocity,,479.9233,0.182,,,1.13,,,81.3795
HD 4208 b,1,Radial Velocity,1.65,255.5,0.052,5600,,0.87,,4.52,34.1937
HD 4208 b,1,Radial Velocity,1.7,254.264,0.04,,,0.93,,,34.1937
HD 4208 b,1,Radial Velocity,1.662,257.4423,0.042,5717,0.85,0.88,,4.5,34.1937
HD 4208 b,1,Radial Velocity,1.65,260.6206,0.05,5629,0.92,0.9,,4.46,34.1937
HD 4208 b,1,Radial Velocity,1.634,245.0457,0.059,5669.81,0.94,0.85,,4.42,34.1937
HD 42618 b,1,Radial Velocity,0.554,14.4,0.19,5727,1,1.01,-0.009,4.44,24.3358
HD 42618 b,1,Radial Velocity,0.5337,15.1922,0.27,5716.65,0.99,0.92,,4.41,24.3358
HD 42813 b,3,Transit,0.109,5.8,0,5240,0.97,0.94,,,68.192
HD 42813 b,3,Transit,0.107,9.6,,5289,0.98,0.89,-0.155,4.39,68.192
HD 42813 b,3,Transit,,,,6114,1.01,,,4.51,68.192
HD 4308 b,1,Radial Velocity,0.12,15.8915,0,5686,1.02,0.93,,4.39,22.0158
HD 4308 b,1,Radial Velocity,0.115,14.0475,0,5685,,0.83,-0.004,4.49,22.0158
HD 4313 b,1,Radial Velocity,1.13,950.3117,0.04,5005,4.91,2.47,,3.45,136.308
HD 4313 b,1,Radial Velocity,1.157,612.45841,0.147,4943,5.14,1.63,,3.24,136.308
HD 4313 b,1,Radial Velocity,1.19,730.978,0.041,5035,4.9,1.72,1.149,3.4,136.308
HD 43197 b,2,Radial Velocity,0.92,190.69,0.83,5508,1,0.96,-0.137,4.31,62.4112
HD 43197 b,2,Radial Velocity,0.882,175.75911,0.742,,,0.96,,,62.4112
HD 43197 c,2,Radial Velocity,8.54,2500.67391,0.149,,,0.96,,,62.4112
HD 43691 b,1,Radial Velocity,0.24,791.36,0.14,6200,,1.38,,4.28,85.6009
HD 43691 b,1,Radial Velocity,0.238,810.4665,0.0796,6093,1.6,1.32,0.5,,85.6009
HD 44219 b,1,Radial Velocity,1.26,184.34048,0.41,,,1.2,,,52.9051
HD 44219 b,1,Radial Velocity,1.19,184.33,0.61,5752,1.32,1,0.26,4.21,52.9051
HD 45184 b,2,Radial Velocity,0.0644,12.19,0.07,5869,,1.03,0.053,4.47,21.9532
HD 45184 b,2,Radial Velocity,0.0641,11.91857,0.18,5820.13,1.08,1.01,,4.38,21.9532
HD 45184 c,2,Radial Velocity,0.1095,10.9333,0.48,5820.13,1.08,1.01,,4.38,21.9532
HD 45184 c,2,Radial Velocity,0.11,8.81,0.07,5869,,1.03,0.053,4.47,21.9532
HD 45350 b,1,Radial Velocity,1.77,311.46,0.78,5616,,1.02,,4.32,46.8733
HD 45350 b,1,Radial Velocity,1.958,578.76553,0.794,5607.78,1.26,1.05,,4.26,46.8733
HD 45350 b,1,Radial Velocity,1.92,578.43,0.764,,,1.02,,,46.8733
HD 45350 b,1,Radial Velocity,1.92,568.89,0.778,5566,1.26,0.98,0.141,4.23,46.8733
HD 45364 b,2,Radial Velocity,0.6793,60.16492,0.067,5466,0.89,0.82,-0.196,,34.354
HD 45364 b,2,Radial Velocity,0.6813,59.4953,0.1684,5434,,0.82,-0.244,4.38,34.354
HD 45364 c,2,Radial Velocity,0.902,174.4878,0.019,5466,0.89,0.82,-0.196,,34.354
HD 45364 c,2,Radial Velocity,0.8972,209.0915,0.0974,5434,,0.82,-0.244,4.38,34.354
HD 45652 b,1,Radial Velocity,0.23,150,0.38,5312,,0.83,,4.32,34.8541
HD 45652 b,1,Radial Velocity,0.237,137.62039,0.607,5294,0.94,0.92,-0.2,,34.8541
HD 45652 b,1,Radial Velocity,0.23,111.2405,0.38,5232,0.96,0.54,,4.2,34.8541
HD 457 b,1,Radial Velocity,15.369,8445.33643,0.565,,,1.15,,,55.0375
HD 46375 b,1,Radial Velocity,0.03998,72.01992,0.063,5264.38,0.91,0.93,,4.49,29.5529
HD 46375 b,1,Radial Velocity,0.0398,71.8,0.063,5285,,0.92,,4.53,29.5529
HD 46375 b,1,Radial Velocity,0.041,79.1,0.04,,,1,,,29.5529
HD 47186 b,2,Radial Velocity,0.05,22.2481,0.04,5657,1.08,0.96,,4.36,37.4574
HD 47186 b,2,Radial Velocity,0.05,22.78,0.038,,,,,,37.4574
HD 47186 c,2,Radial Velocity,2.395,111.42,0.249,,,,,,37.4574
HD 4732 b,2,Radial Velocity,1.19,753.23,0.13,4959,5.4,1.74,1.19,3.16,54.7841
HD 4732 b,2,Radial Velocity,1.129,631.20722,0.266,4898,5.03,1.39,1.118,3.17,54.7841
HD 4732 c,2,Radial Velocity,4.725,1069.49259,0.187,4898,5.03,1.39,1.118,3.17,54.7841
HD 4732 c,2,Radial Velocity,4.6,753.23,0.23,4959,5.4,1.74,1.19,3.16,54.7841
